PIB File Number,Date Occurred,Originating Bureau,Division Level,Division,Unit,Working Status,Shift,Investigation Status,Disposition,Service Type,Light Condition,Weather Condition,Number of Officers,Number of Subjects,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2020-0364,12/12/2020,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,3,1,Takedown (w/injury) | Force (Take Down) | Force (Take Down),L2 | L2 | L2,Mentally unstable,Yes | Yes | Yes,White | Black | White,Male | Male | Male,37 | 27 | 27,16 | 5 | 4,0 feet to 1 feet,Female,Black,31,Medium,5'4'' to 5'6'',Yes,Yes,No,,Refusal of Verbal Commands,No | No | No
FTN2018-0119,4/4/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Serving a Warrant,Good,Rainy Conditions - Medium,3,1,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,Unknown,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,35 | 50 | 44,19 | 22 | 23,11 feet to 14 feet,Male,Black,39,Large,6'1'' to 6'3'',No,No,Yes,,Tactical Deployments,No | No | No
FTN2021-0014,1/25/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,Takedown (no injury),L1,None detected,Yes,White,Male,38,16,0 feet to 1 feet,Male,Black,30,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,Yes
FTN2021-0059,2/25/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,1,Hands | Hands,L1 | L1,Alchohol,Yes | Yes,White | Asian/Pacific Islander,Male | Male,27 | 27,8 | 5,0 feet to 1 feet,Female,White,33,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2021-0062,2/27/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown Drugs,Yes,Black,Male,28,5,4 feet to 6 feet,Female,Black,39,Medium,5'10'' to 6'0'',No,Yes,Yes,,Room Clearing,No
FTN2021-0138,5/7/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,4,1,Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes,Hispanic | Hispanic | Black | White,Male | Male | Male | Male,32 | 28 | 28 | 28,12 | 7 | 5 | 4,0 feet to 1 feet,Male,Hispanic,31,Small,5'4'' to 5'6'',No,No,No,,Battery on Police Officer,No | Yes | No | No
FTN2019-0236,7/18/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,4,1,Hands | Takedown (w/injury) | Hands | Takedown (w/injury),L1 | L2 | L1 | L2,Unknown,Yes | Yes | Yes | Yes,Hispanic | Hispanic | White | White,Male | Male | Male | Male,25 | 25 | 36 | 36,7 | 7 | 6 | 6,0 feet to 1 feet,Male,Black,32,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2019-0010,1/7/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,3,1,Force (Escort Tech) | Hands | Hands,L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes,White | White | White,Male | Male | Female,42 | 32 | 27,16 | 15 | 6,1 feet to 3 feet,Female,Black,29,Small,5'0'' to 5'3'',No,Yes,No,,Refusal of Verbal Commands,No | No | No
FTN2017-0644,12/24/2017,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,2,1,Hands | Force (Take Down),L1 | L2,None detected,Yes | Yes,Black | Black,Male | Male,41 | 41,19 | 19,0 feet to 1 feet,Male,Black,19,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2022-0355,9/18/2022,ISB - Investigation and Support Bureau,Crime Lab and Evidence Division,Crime Lab,Admin,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Other,Good,Other,1,1,Hands,L1,Alchohol,Yes,White,Male,56,0,0 feet to 1 feet,Female,Black,36,Small,5'7'' to 5'9'',No,No,No,,Refusal of Verbal Commands,No
FTN2019-0355,11/22/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,2,1,Hands | Hands,L1 | L1,Alchohol,Yes | Yes,White | White,Male | Male,31 | 24,8 | 6,1 feet to 3 feet,Male,Black,35,Medium,5'7'' to 5'9'',No,Yes,Yes,,Refusal of Verbal Commands,No | No
FTN2019-0402,12/26/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,2,Firearm (Exhibited),L1,Unknown | Unknown,Yes,White,Male,31,8,4 feet to 6 feet | 4 feet to 6 feet,Male | Male,Black | Black,18 | 15,,,No | No,No | No,No | No,,Flight from an Officer,No
FTN2021-0200,6/30/2021,FOB - Field Operations Bureau,1st District,C Platoon,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Force (Take Down),L2,Unknown,Yes,Black,Male,38,8,0 feet to 1 feet,Male,Black,43,Large,5'7'' to 5'9'',Yes,Yes,Yes,,Resisting Lawful Arrest,Yes
FTN2019-0043,2/5/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,White,Male,28,6,4 feet to 6 feet,Male,Black,60,Medium,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No
FTN2019-0066,2/20/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,5,1,Hands | Rifle (Pointed) | Rifle (Pointed) | Hands | Rifle (Pointed),L1 | L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes | Yes,Black | Black | White | Not Specified | Not Specified,Male | Male | Male | Male | Male,30 | 30 | 39 | 30 | 30,14 | 14 | 20 | 10 | 10,11 feet to 14 feet,Male,Black,30,Medium,5'7'' to 5'9'',No,No,Yes,,Refusal of Verbal Commands,No | No | No | No | No
FTN2021-0223,7/20/2021,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,1,Hands | Hands,L1 | L1,Alchohol,Yes | Yes,White | Asian/Pacific Islander,Male | Male,30 | 27,7 | 5,0 feet to 1 feet,Male,Black,25,Medium,5'10'' to 6'0'',No,No,No,,Refusal of Verbal Commands,Yes | No
FTN2018-0348,9/21/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,46,26,11 feet to 14 feet,Male,Black,0,Medium,5'7'' to 5'9'',No,No,Yes,,Refusal of Verbal Commands,No
FTN2019-0056,2/13/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Unknown Working Status,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Not Specified | White,Male | Male,23 | 28,6 | 6,1 feet to 3 feet,Male,Black,63,Medium,5'10'' to 6'0'',No,No,Yes,,Refusal of Verbal Commands,No | No
FTN2019-0057,2/16/2019,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Alchohol,Yes | Yes,Black | Hispanic,Male | Male,50 | 53,32 | 5,0 feet to 1 feet,Male,Black,32,Small,5'0'' to 5'3'',No,No,Yes,,Refusal of Verbal Commands,No | No
FTN2019-0059,2/18/2019,FOB - Field Operations Bureau,7th District,Night Watch,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,4,1,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes,Black | White | White | White,Male | Male | Male | Male,36 | 33 | 38 | 36,20 | 9 | 7 | 6,7 feet to 10 feet,Male,Black,26,Large,5'7'' to 5'9'',No,No,Yes,,Refusal of Verbal Commands,No | No | No | No
FTN2020-0153,5/27/2020,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,5,1,Other | Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes | Yes | Yes,Black | White | Hispanic | White | Black,Female | Male | Male | Male | Male,39 | 30 | 24 | 27 | 23,21 | 7 | 5 | 5 | 5,0 feet to 1 feet,Female,Black,38,Medium,5'4'' to 5'6'',No,No,Yes,,Refusal of Verbal Commands,No | No | Yes | Yes | Yes
FTN2020-0185,6/28/2020,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,2,Firearm (Exhibited),L1,Unknown | Unknown,No,White,Male,36,5,22 feet to 25 feet | 22 feet to 25 feet,Male | Female,Black | Black,,,,No | No,No | No,No | No,,Flight from an Officer,No
FTN2020-0195,7/4/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,3,2,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,Unknown | Unknown,Yes | Yes | Yes,White | White | White,Male | Male | Male,28 | 26 | 31,8 | 7 | 6,7 feet to 10 feet | 7 feet to 10 feet,Male | Male,White | Black,64 | 37,Small | Small,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,Yes | Yes,Yes | Yes,,Weapon Exhibited,No | No | No
FTN2022-0031,1/26/2022,FOB - Field Operations Bureau,7th District,Tactical Section,K-9 Section,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,4,1,Canine (No Bite) | Firearm (Exhibited) | Canine (No Bite) | Firearm (Exhibited),L2 | L1 | L2 | L1,Mentally unstable,Yes | Yes | Yes | Yes,Black | White | Black | White,Male | Male | Male | Male,39 | 45 | 51 | 46,15 | 21 | 23 | 9,7 feet to 10 feet,Male,Black,45,Large,6'1'' to 6'3'',No,Yes,Yes,,Tactical Deployments,No | No | No | No
FTN2020-0200,7/10/2020,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Policy Violation,Arresting,Good,Clear Conditions,4,1,Hands | Hands | Hands | Other,L1 | L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes | Yes,White | White | White | White,Male | Male | Male | Male,51 | 28 | 27 | 27,19 | 8 | 6 | 6,0 feet to 1 feet,Male,Black,48,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | Yes | Yes
FTN2020-0202,7/11/2020,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Unknown Working Status,Between 11pm-7am,Completed,UOF Justified With Training,Other,Good,Clear Conditions,2,2,Firearm (Exhibited) | CEW Deployment,L1 | L2,Unknown | Unknown,Yes | Yes,Black | White,Male | Male,37 | 29,16 | 6,7 feet to 10 feet | 7 feet to 10 feet,Male | Male,Black | Black,26 | 23,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',Yes | Yes,No | No,No | No,,Refusal of Verbal Commands,No | No
FTN2019-0119,3/27/2019,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,30,6,4 feet to 6 feet,Male,Black,29,Medium,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No
FTN2020-0209,7/16/2020,FOB - Field Operations Bureau,8th District,C Platoon,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,37,8,11 feet to 14 feet,Male,Black,25,Medium,5'10'' to 6'0'',No,No,No,,Flight from an Officer,No
FTN2020-0232,8/10/2020,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,White | Black,Male | Female,50 | 59,6 | 9,4 feet to 6 feet,Male,White,27,Medium,5'10'' to 6'0'',No,No,No,,Tactical Deployments,No | No
FTN2022-0336,9/6/2022,ISB - Investigation and Support Bureau,Criminal Investigations Division,Homicide Section,Squad A,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Mentally unstable,Yes,White,Male,43,15,7 feet to 10 feet,Male,White,47,Medium,6'1'' to 6'3'',No,Yes,No,,Refusal of Verbal Commands,No
FTN2020-0280,9/24/2020,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Rainy Conditions - Light,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Alchohol,Yes | Yes,White | White,Male | Male,26 | 29,6 | 6,1 feet to 3 feet,Female,White,30,Medium,5'4'' to 5'6'',No,Yes,No,,Resisting Officer w/Weapon,No | No
FTN2020-0292,9/26/2020,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,2,1,Force (Escort Tech) | Force (Escort Tech),L1 | L1,Unknown,No | No,Black | Hispanic,Male | Male,25 | 22,5 | 4,0 feet to 1 feet,Male,Black,,Medium,5'10'' to 6'0'',No,No,No,,Resisting Lawful Arrest,No | Yes
FTN2020-0284,9/28/2020,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,5,1,Hands | Firearm (Exhibited) | Hands | Hands | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1,Alchohol and unknown drugs,Yes | Yes | Yes | Yes | Yes,Black | Hispanic | Black | Black | Black,Male | Male | Male | Male | Male,39 | 31 | 28 | 23 | 28,11 | 7 | 8 | 4 | 5,1 feet to 3 feet,Male,Black,27,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | No | No | No
FTN2021-0338,10/28/2021,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,2,1,Hands | Hands,L1 | L1,Alchohol and unknown drugs,Yes | Yes,White | Black,Male | Female,47 | 37,16 | 8,0 feet to 1 feet,Male,Black,59,Medium,5'7'' to 5'9'',No,Yes,Yes,,Battery on Police Officer,No | No
FTN2021-0360,11/14/2021,FOB - Field Operations Bureau,3rd District,C Platoon,Night Watch,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Call for Service,Poor,Clear Conditions,2,1,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Black | Hispanic,Male | Male,25 | 23,4 | 4,1 feet to 3 feet,Male,Black,55,Medium,5'7'' to 5'9'',No,No,No,,Weapon Exhibited,No | No
FTN2021-0374,11/22/2021,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,2,1,Hands | Hands,L1 | L1,Unknown Drugs,Yes | Yes,White | White,Female | Male,40 | 24,16 | 4,1 feet to 3 feet,Male,Black,16,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2021-0397,12/14/2021,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Foggy Condition,1,1,Takedown (no injury),L1,Unknown Drugs,Yes,Black,Male,38,6,0 feet to 1 feet,Male,Black,49,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2021-0398,12/15/2021,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,27,3,4 feet to 6 feet,Male,Black,27,Small,5'4'' to 5'6'',No,No,Yes,,Refusal of Verbal Commands,No
FTN2021-0408,12/19/2021,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,3,1,Hands | Firearm (Exhibited) | Hands,L1 | L1 | L1,Unknown,Yes | Yes | Yes,Black | Black | Black,Female | Male | Male,34 | 23 | 23,7 | 5 | 5,0 feet to 1 feet,Male,Black,0,Small,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No | No | No
FTN2021-0412,12/27/2021,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,1,1,Firearm (Exhibited),L1,None detected,Yes,Hispanic,Male,23,4,11 feet to 14 feet,Male,Black,25,Medium,< 5'0'',No,No,Yes,,Flight from an Officer,No
FTN2018-0422,11/14/2018,FOB - Field Operations Bureau,1st District,D.I.U.,Persons,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,30,6,4 feet to 6 feet,Male,Black,55,Medium,5'4'' to 5'6'',No,No,No,,Refusal of Verbal Commands,No
FTN2019-0042,2/5/2019,FOB - Field Operations Bureau,1st District,D.I.U.,Persons,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,1,1,Firearm (Exhibited),L1,Unknown,Yes,Hispanic,Male,26,7,15 feet to 18 feet,Male,Black,36,Medium,5'7'' to 5'9'',No,Yes,Yes,,Weapon Exhibited,No
FTN2022-0020,1/17/2022,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,1,Hands | Hands,L1 | L1,Alchohol,Yes | Yes,Black | White,Male | Male,32 | 25,4 | 4,0 feet to 1 feet,Male,Black,55,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,Yes | Yes
FTN2022-0035,1/29/2022,FOB - Field Operations Bureau,6th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,2,1,Takedown (no injury) | Takedown (no injury),L1 | L1,Mentally unstable,Yes | Yes,Black | White,Male | Female,30 | 28,5 | 3,0 feet to 1 feet,Female,Black,20,Small,5'10'' to 6'0'',No,Yes,No,,Refusal of Verbal Commands,No | No
FTN2022-0044,2/3/2022,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Foggy Condition,4,1,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,Unknown Drugs,Yes | Yes | Yes | Yes,White | White | White | White,Male | Male | Male | Male,43 | 28 | 33 | 37,20 | 7 | 6 | 5,22 feet to 25 feet,Male,Asian,24,Small,5'7'' to 5'9'',No,No,Yes,,Weapon Exhibited,No | No | No | No
FTN2022-0052,2/7/2022,FOB - Field Operations Bureau,3rd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,3,1,Takedown (no injury) | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1,Unknown,Yes | Yes | Yes,White | Black | Hispanic,Male | Male | Male,51 | 26 | 24,27 | 4 | 4,0 feet to 1 feet,Male,Black,44,Medium,6'1'' to 6'3'',No,No,Yes,,Resisting Lawful Arrest,No | No | No
FTN2019-0081,3/2/2019,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Foggy Condition,4,1,Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1,Alchohol,Yes | Yes | Yes | Yes,White | Hispanic | White | Black,Male | Male | Male | Male,44 | 39 | 36 | 28,15 | 12 | 8 | 6,0 feet to 1 feet,Female,White,23,Small,5'0'' to 5'3'',No,Yes,No,,Resisting Lawful Arrest,No | No | No | No
FTN2019-0155,4/24/2019,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,2,1,Hands | Hands,L1 | L1,Alchohol,Yes | Yes,White | Black,Male | Male,40 | 51,16 | 27,0 feet to 1 feet,Female,White,25,Small,5'0'' to 5'3'',Yes,No,Yes,,Resisting Lawful Arrest,No | No
FTN2019-0084,3/3/2019,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Rainy Conditions - Light,1,1,Firearm (Exhibited),L1,Unknown,Yes,White,Male,36,8,15 feet to 18 feet,Male,Black,34,Small,5'4'' to 5'6'',No,No,Yes,,Weapon Exhibited,No
FTN2019-0214,6/23/2019,FOB - Field Operations Bureau,8th District,Bourbon Promenade,Bourbon Street,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,2,1,Takedown (w/injury) | Takedown (w/injury),L2 | L2,Unknown,Yes | Yes,White | White,Male | Male,30 | 27,6 | 5,0 feet to 1 feet,Male,Black,26,Large,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2019-0106,3/20/2019,FOB - Field Operations Bureau,4th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,2,1,Hands | Hands,L1 | L1,Alchohol and unknown drugs,Yes | Yes,Black | White,Female | Male,33 | 60,16 | 41,0 feet to 1 feet,Male,Black,23,Small,5'7'' to 5'9'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | Yes
